BI00A1200    7360T51818     202203177289-3342                HOUSING FEMALE ASS'Y     CCN000012000000000000FY00000000020210901000000000NNEQ0820211201184450    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51818     202209227289-3342-40             HOUSING FEMALE ASS'Y     CCN000007200000000000FY00000000020210901000000000NNEQ0820211201190126    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51819     202202047288-6547                CONNECTOR MALE ASS'Y     CCN000015000000000000FY00000000020210901000000000NNEQ0820211201193026    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00A1200    7360T51819     202203247289-3342                HOUSING FEMALE ASS'Y     CCN000012000000000000FY00000000020210901000000000NNEQ0820211201184614    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51819     202209297289-3342-40             HOUSING FEMALE ASS'Y     CCN000007200000000000FY00000000020210901000000000NNEQ0820211201190221    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51820     202202047288-6547                CONNECTOR MALE ASS'Y     CCN000015000000000000FY00000000020210901000000000NNEQ0820211201193132    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00A1200    7360T51820     202203317289-3342                HOUSING FEMALE ASS'Y     CCN000012000000000000FY00000000020210901000000000NNEQ0820211201184737    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51820     202210067289-3342-40             HOUSING FEMALE ASS'Y     CCN000007200000000000FY00000000020210901000000000NNEQ0820211201190336    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    2399T51920     202112107289-5979-30             HOUSING FEMALE ASS'Y     PCN000034524000004032FN00000000020211101000004032NNM00020211201154129    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    #2399T51920    202112137289-4200-30             HOUSING FEMALE ASS'Y     PCN000082000000082000FN00000000020211101000082000NNMD0020211201135242    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00A1200    #2399T51921    202112157289-4200-30             HOUSING FEMALE ASS'Y     PCN000082000000082000FN00000000020211101000082000NNMD0020211201135417    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00B1200    #2399T51922    202110297289-4200-30             HOUSING FEMALE ASS'Y     CCN000082000000004000FY00000400020211101000000000NNMD0020211201135634    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00A1200    #2399T51923    202201277289-4200-30             HOUSING FEMALE ASS'Y     PCN000080000000080000FN00000000020211101000080000NNMD0020211201150800    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00A1200    2399T51920     202112137289-5979-30             HOUSING FEMALE ASS'Y     PCN000011592000004032FN00000000020211101000004032NNMD0220211201154129    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T51920     202112097289-5979-30             HOUSING FEMALE ASS'Y     CCN000011592000026460FN00000000020211101000026460NNMD0220211201154129    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    8670T51902     202112027196-1103-02             TERMINAL                 CCN000022500000022500FN00000000020211201000022500NNE00020211201163447    4P0P  0000225000000042980000071501200    YCYC    006400630015
BI00B1200    8670T51902     202112027196-1104-02             TERMINAL                 CCN000022500000022500FN00000000020211201000022500NNE00020211201163447    4P0P  0000225000000044100000072621200    YCYC    006400630015
BI00B1200    8670T51903     202112027196-1103-02             TERMINAL                 CCN000022500000022500FN00000000020211201000022500NNE00020211201163517    4P0P  0000225000000042980000071501200    YCYC    006400630015
BI00A1200    #2399T51A21    202202027289-4200-30             HOUSING FEMALE ASS'Y     PCN000080000000080000FN00000000020211201000080000NNMD0020211201150858    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00A1200    #2399T51A22    202202167289-4200-30             HOUSING FEMALE ASS'Y     PCN000078000000078000FN00000000020211201000078000NNMD0020211201151051    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00A1200    #2399T51A23    202202287289-4200-30             HOUSING FEMALE ASS'Y     PCN000078000000078000FN00000000020211201000078000NNMD0020211201151107    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00A1200    #2399T51A24    202203097289-4200-30             HOUSING FEMALE ASS'Y     PCN000078000000078000FN00000000020211201000078000NNMD0020211201151131    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00B1200    7360T51A03     202112027196-1104-02             TERMINAL                 CCN000022500000022500FN00000000020211201000022500NNM00020211201163356    4P0P  0000225000000044100000072621200    YCYC    006400630015
BI00B1200    7360T51A03     202205197288-6547                CONNECTOR MALE ASS'Y     CCN000012750000000000FY00000000020211201000000000NNMQ0820211201193226    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    7360T51A04     202206167288-6547                CONNECTOR MALE ASS'Y     CCN000012750000000000FY00000000020211201000000000NNMQ0820211201193306    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    7360T51A03     202303027289-3342                HOUSING FEMALE ASS'Y     CCN000074400000000000FY00000000020211201000000000NNMQ0820211201184924    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A04     202303307289-3342                HOUSING FEMALE ASS'Y     CCN000074400000000000FY00000000020211201000000000NNMQ0820211201185047    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A01     202206097289-3342-40             HOUSING FEMALE ASS'Y     CCN000038400000000000FY00000000020211201000000000NNMQ0820211201190447    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A02     202206237289-3342-40             HOUSING FEMALE ASS'Y     CCN000036000000000000FY00000000020211201000000000NNMQ0820211201190738    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A03     202207077289-3342-40             HOUSING FEMALE ASS'Y     CCN000036000000000000FY00000000020211201000000000NNMQ0820211201190840    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A04     202207217289-3342-40             HOUSING FEMALE ASS'Y     CCN000036000000000000FY00000000020211201000000000NNMQ0820211201190938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A01     202208047289-3342-90             HOUSING FEMALE ASS'Y     CCN000036000000000000FY00000000020211201000000000NNMQ0820211201192103    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A02     202209017289-3342-90             HOUSING FEMALE ASS'Y     CCN000033600000000000FY00000000020211201000000000NNMQ0820211201192211    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A03     202209297289-3342-90             HOUSING FEMALE ASS'Y     CCN000033600000000000FY00000000020211201000000000NNMQ0820211201192320    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A04     202210277289-3342-90             HOUSING FEMALE ASS'Y     CCN000033600000000000FY00000000020211201000000000NNMQ0820211201192435    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A01     202201277289-6547                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211201000000000NNMQ0820211201193456    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    7360T51A02     202202037289-6547                HOUSING FEMALE ASS'Y     CCN000012000000000000FY00000000020211201000000000NNMQ0820211201193538    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    7360T51A03     202202107289-6547                HOUSING FEMALE ASS'Y     CCN000012000000000000FY00000000020211201000000000NNMQ0820211201193624    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    7360T51A04     202202177289-6547                HOUSING FEMALE ASS'Y     CCN000012000000000000FY00000000020211201000000000NNMQ0820211201193715    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    7360T51A06     202202177288-6547                CONNECTOR MALE ASS'Y     CCN000053250000000000FY00000000020211101000000000NNEQ0820211201193356    4N0N  0000007500000120530000134031200    YCYC    005400370024
