BI00B32Q8    @EW22074 MW    20220615181D6910237              AVSSHCS 0.5FX2 B/Y       CCN000000900000000900FN00000000020220701000000900NNM   20220416203402    1W    00000030000002385000000000032Q8    EMEMI   000000000000MI126009
BI00B32Q8    @EW22073 MW    20220608181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000002400000002400FN00000000020220701000002400NNM   20220416203402    1W    00000030000002531400000000032Q8    EMEMI   000000000000MI425010
BI00B32Q8    @EW22074 MW    20220615181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000002400000002400FN00000000020220701000002400NNM   20220416203402    1W    00000030000002531400000000032Q8    EMEMI   000000000000MI126011
BI00B32Q8    @EW22071 MW    20220525181E48041ZZ              CAVSAS-S 0.3X2 GY/R      CCN000000350000000350FN00000000020220701000000350NNM   20220416203402    1W    00000035000002008700000000032Q8    EMEMI   000000000000MI225003
BI00B32Q8    @EW22072 MW    20220601181E48041ZZ              CAVSAS-S 0.3X2 GY/R      CCN000002800000002800FN00000000020220701000002800NNM   20220416203402    1W    00000035000002008700000000032Q8    EMEMI   000000000000MI325006
BI00B32Q8    @EW22073 MW    20220608181E48041ZZ              CAVSAS-S 0.3X2 GY/R      CCN000003150000003150FN00000000020220701000003150NNM   20220416203402    1W    00000035000002008700000000032Q8    EMEMI   000000000000MI425009
BI00B32Q8    @EW22074 MW    20220615181E48041ZZ              CAVSAS-S 0.3X2 GY/R      CCN000002800000002800FN00000000020220701000002800NNM   20220416203402    1W    00000035000002008700000000032Q8    EMEMI   000000000000MI126010
BI00B32Q8    @EW22071DMW    20220525181B32116Y9              AVSSCS 0.3FX2 DGY/P      CCN000004200000004200FN00000000020220701000004200NNM   20220416204444    1W    00000035000002276000000000032Q8    EMEMI   000000000000MD225002
BI00B32Q8    @EW22072DMW    20220601181B32116Y9              AVSSCS 0.3FX2 DGY/P      CCN000004900000004900FN00000000020220701000004900NNM   20220416204444    1W    00000035000002276000000000032Q8    EMEMI   000000000000MD325002
BI00B32Q8    @EW22073DMW    20220608181B32116Y9              AVSSCS 0.3FX2 DGY/P      CCN000007000000007000FN00000000020220701000007000NNM   20220416204444    1W    00000035000002276000000000032Q8    EMEMI   000000000000MD425003
BI00B32Q8    @EW22073DMW    20220608181AD2017ZZ              CIVUSAS-S 0.22X3 B       CCN000000430000000430FN00000000020220701000000430NNM   20220416204444    1W    00000043000001678200000000032Q8    EMEMI   000000000000MD425001
BI00B32Q8    @EW22074DMW    20220615181AD2017ZZ              CIVUSAS-S 0.22X3 B       CCN000001720000001720FN00000000020220701000001720NNM   20220416204444    1W    00000043000001678200000000032Q8    EMEMI   000000000000MD126001
BI00B32Q8    @EW22071DMW    20220525181AD2019ZZ              CIVUSAS-S 0.22X5 B       CCN000002100000002100FN00000000020220701000002100NNM   20220416204444    1W    00000030000002487500000000032Q8    EMEMI   000000000000MD225001
BI00B32Q8    @EW22072DMW    20220601181AD2019ZZ              CIVUSAS-S 0.22X5 B       CCN000004200000004200FN00000000020220701000004200NNM   20220416204444    1W    00000030000002487500000000032Q8    EMEMI   000000000000MD325001
BI00B32Q8    @EW22073DMW    20220608181AD2019ZZ              CIVUSAS-S 0.22X5 B       CCN000004800000004800FN00000000020220701000004800NNM   20220416204444    1W    00000030000002487500000000032Q8    EMEMI   000000000000MD425002
BI00B32Q8    @EW22074DMW    20220615181AD2019ZZ              CIVUSAS-S 0.22X5 B       CCN000001800000001800FN00000000020220701000001800NNM   20220416204444    1W    00000030000002487500000000032Q8    EMEMI   000000000000MD126002
BI00B32Q8    EW22073TMW     20220608180D0203760              AVSSH 0.3F G             CCN000054000000054000FN00000000020220701000054000NNM   20220416203418    1W    00000200000000515000000000032Q8    EMEMI   000000000000MT425018
