BI00A1200    2399T51C15     202203257288-6547                CONNECTOR MALE ASS'Y     PCN000120000000120000FN00000000020220101000120000NNMM0020220301164603    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B32A7    ZZ22052LMW     202204127327-6769-3W             BATTERY FUSE             CCN000002208000002208FN00000000020220501000002208NNM   20220301132716    4N0N  00000009600000933300001133332A7    ZZZZY   005500360039
BI00B32A7    ZZ22053LMW     202204207327-6769-3W             BATTERY FUSE             CCN000006624000006624FN00000000020220501000006624NNM   20220301132716    4N0N  00000009600000933300001133332A7    ZZZZY   005500360039
BI00B32A7    ZZ22054LMW     202204277327-6769-3W             BATTERY FUSE             CCN000004416000004416FN00000000020220501000004416NNM   20220301132716    4N0N  00000009600000933300001133332A7    ZZZZY   005500360039
BI00B32A7    #ZZ22051LMW    202204067114-4022                TERMINAL                 CCN000015000000015000FN00000000020220501000015000NNM   20220301132650    2F0P  00001500000000708000001120632A7    ZZZZY   006400630015
BI00B32A7    #ZZ22054LMW    202204277116-4021                TERMINAL                 CCN000013500000013500FN00000000020220501000013500NNM   20220301132650    2F0P  00001350000000534600000868832A7    ZZZZY   006400630015
BI00B32A7    #ZZ22053LMW    202204207123-1620                CONNECTOR                CCN000008000000008000FN00000000020220501000008000NNM   20220301132650    2F0F  00000800000001376000001606032A7    ZZZZY   005600390040
BI00B32A7    #ZZ22051LMW    202204067123-6423-30             CONNECTOR                CCN000002000000002000FN00000000020220501000002000NNM   20220301132650    2F0F  00000200000001002000001167632A7    ZZZZY   005600390023
BI00B32A7    #ZZ22052LMW    202204127123-6423-30             CONNECTOR                CCN000010000000010000FN00000000020220501000010000NNM   20220301132650    2F0F  00000200000001002000001167632A7    ZZZZY   005600390023
BI00B32A7    #ZZ22053LMW    202204207123-6423-30             CONNECTOR                CCN000010000000010000FN00000000020220501000010000NNM   20220301132650    2F0F  00000200000001002000001167632A7    ZZZZY   005600390023
BI00B32A7    #ZZ22054LMW    202204277123-6423-30             CONNECTOR                CCN000004000000004000FN00000000020220501000004000NNM   20220301132650    2F0F  00000200000001002000001167632A7    ZZZZY   005600390023
BI00B32A7    #ZZ22052LMW    202204127157-3952-80             RUBBER STOPPER           CCN000010000000010000FN00000000020220501000010000NNM   20220301132650    2C0C  00001000000000117000000175032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22053LMW    202204207157-3952-80             RUBBER STOPPER           CCN000010000000010000FN00000000020220501000010000NNM   20220301132650    2C0C  00001000000000117000000175032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22054LMW    202204277157-3952-80             RUBBER STOPPER           CCN000010000000010000FN00000000020220501000010000NNM   20220301132650    2C0C  00001000000000117000000175032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22051LMW    202204067157-3992-90             CONNECTOR SEALED         CCN000040000000040000FN00000000020220501000040000NNM   20220301132650    2C0C  00004000000000300000000363332A7    ZZZZY   002700430014
