BI00A32AF    @TTB201A       20211207181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000600000000600FN00000000020220101000000600NNE21 20211203130310    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UW51B003
BI00B32AF    @TTB2025       20211210181E48061ZZ              CAVSAS-S 0.5X2 W/L       CCN000000300000000300FN00000000020220201000000300NNM20 20211203114945    1W    00000030000002493000000000032AF    HBYHVTB 000000000000UZ41C085
BI00B32AF    @TTB201B       20211210181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000400000000400FN00000000020220101000000400NNE20 20211203130420    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UT11C002
BI00A32DJ    GHT2201-2      2021120318007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020211201000001600NNM20 20211203082525    1W    00000080000001389000000000032DJ    RBYIPLRB000000000000XH41B026
BI00A32DJ    GHT2201-2      20211203180T8403952              ACCAVS 0.5 P             CCN000003000000003000FN00000000020211201000003000NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B020
BI00A32DJ    GHT2201-2      20211203180T8403980              ACCAVS 0.5 BR            CCN000000020000001500FN00000000020211201000001500NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B017
BI00B32Q8    @EW21111TMW    20211020181E50028ZZ              AVSSCS-S 0.5FX3 DGY      CCN000005500000005250FY00000525020211101000000000NNM00 20211203163141    1W    00000025000003245000000000032Q8    EMEMI   000000000000MT11B008
BI00B32Q8    @EW21111TMW    20211222181D69102A8              AVSSHCS 0.5FX2 B/P       CCN000001200000001200FN00000000020211101000001200NNM22 20211203163019    1W    00000030000002792600000000032Q8    EMEMI   000000000000MT11B004
BI00B32Q8    @EW21111TMW    20211020181F21001ZZ              AVSSHCS-S 0.3FX2 B/Y     CCN000009100000000700FY00000070020211101000000000NNM00 20211203163254    1W    00000035000002076300000000032Q8    EMEMI   000000000000MT11B011
BI00B32Q8    @EW21111TMW    20211222181F21016ZZ              AVSSHCS-S 0.5FX2 B/BR    CCN000003900000003900FN00000000020211101000003900NNM22 20211203163019    1W    00000030000002505800000000032Q8    EMEMI   000000000000MT11B010
BI00B32Q8    @EW21121TMW    20211215181D69001ZZ              AVSSHCS 0.5FX2 B/BR      CCN000005100000005100FN00000000020211201000005100NNM22 20211203134918    1W    00000030000002792600000000032Q8    EMEMI   000000000000MU11A003
BI00B32Q8    @EW21121TMW    20211215181D69004ZZ              AVSSHCS 1.25FX2 B        CCN000002400000002400FN00000000020211201000002400NNM22 20211203134918    1W    00000020000004432000000000032Q8    EMEMI   000000000000MU11A004
BI00B32Q8    @EW21121TMW    20211020181F21001ZZ              AVSSHCS-S 0.3FX2 B/Y     CCN000009100000008400FY00000840020211201000000000NNM00 20211203135251    1W    00000035000002076300000000032Q8    EMEMI   000000000000MU11A006
BI00B32Q8    @EW21121TMW    20211215181F21001ZZ              AVSSHCS-S 0.3FX2 B/Y     CCN000000700000000700FN00000000020211201000000700NNM22 20211203135013    1W    00000035000002076300000000032Q8    EMEMI   000000000000MU11A006
BI00B32Q8    @EW21111TMW    20211222181E50028ZZ              AVSSCS-S 0.5FX3 DGY      CCN000000250000000250FN00000000020211101000000250NNM22 20211203163112    1W    00000025000003245000000000032Q8    EMEMI   000000000000MT11B008
BI00B32Q8    @EW21111TMW    20211222181F21001ZZ              AVSSHCS-S 0.3FX2 B/Y     CCN000008400000008400FN00000000020211101000008400NNM22 20211203163231    1W    00000035000002076300000000032Q8    EMEMI   000000000000MT11B011
